UniProt_ID,Non-HMR_HMRPred_Probability,MB_Mebipred_Probaility
A0A059TC02,0.992575,0.62
A0A075TR41,0.983281,0.58
A0A075TRB3,0.957445,0.55
A0QQJ4,0.981653,0.7
A5JYX5,0.969697,0.57
C5B164,0.941445,0.75
G0WXL9,0.927276,0.53
G7IYC1,0.996989,0.76
O00423,0.959321,0.58
O51076,0.934457,0.86
O70351,0.989533,0.89
O75460,0.983921,0.55
O85041,0.975637,0.5
O85042,0.989852,0.6
O95825,0.976776,0.59
O95834,0.978396,0.52
P00334,0.987389,0.64
P05793,0.964517,0.64
P07064,0.948665,0.61
P09538,0.948665,0.61
P0A9Q7,0.975725,0.65
P0A9Q8,0.975725,0.65
P0A9S1,0.98413,0.58
P0A9S5,0.993016,0.53
P0AB87,0.937369,0.52
P10127,0.990787,0.63
P11883,0.990194,0.67
P13114,0.968469,0.53
P15877,0.957707,0.77
P16152,0.989194,0.62
P20332,0.944528,0.83
P25635,0.982624,0.5
P26309,0.98013,0.56
P30838,0.988611,0.68
P31005,0.974313,0.78
P32523,0.921301,0.5
P34609,0.973669,0.53
P35922,0.980783,0.57
P38071,0.958814,0.75
P39714,0.988672,0.5
P40881,0.988801,0.54
P47727,0.992784,0.55
P47739,0.983748,0.59
P47844,0.977619,0.66
P48758,0.990673,0.65
P72758,0.974881,0.55
P77774,0.988274,0.7
P87017,0.984181,0.83
Q03513,0.99021,0.55
Q05BC3,0.965158,0.59
Q06787,0.970315,0.63
Q08257,0.980887,0.68
Q13268,0.971779,0.83
Q15269,0.972594,0.55
Q24803,0.991499,0.6
Q28960,0.988597,0.61
Q32P44,0.996116,0.5
Q3SZD7,0.991498,0.58
Q3UMY5,0.981909,0.58
Q46856,0.992233,0.59
Q4L235,0.951774,0.55
Q4WKP8,0.982856,0.54
Q4WZ67,0.993515,0.62
Q55GJ2,0.991513,0.52
Q59104,0.960141,0.75
Q5R9B4,0.974729,0.58
Q5RCF8,0.993278,0.8
Q5RCU5,0.992353,0.62
Q5SIL0,0.957362,0.63
Q703W7,0.989824,0.51
Q76IQ4,0.914677,0.82
Q76MJ5,0.988126,0.51
Q7L1S5,0.989422,0.6
Q80WE1,0.980434,0.58
Q8BGC4,0.960364,0.55
Q8BX17,0.993438,0.5
Q8DKB5,0.971898,0.53
Q8IWA0,0.984354,0.55
Q8IWW8,0.988551,0.66
Q8LCU7,0.976734,0.63
Q8MI29,0.983418,0.65
Q8N3Y1,0.980365,0.68
Q8VCR2,0.985273,0.58
Q8VID1,0.993985,0.64
Q8WWV3,0.95918,0.53
Q924D0,0.945766,0.52
Q93VJ2,0.990772,0.57
Q941I0,0.979608,0.64
Q96MR6,0.989167,0.99
Q97YM2,0.997022,0.55
Q99714,0.987722,0.83
Q99LB2,0.993126,0.74
Q99MS3,0.968887,0.69
Q9BV79,0.967537,0.55
Q9BVC4,0.977826,0.59
Q9DCJ1,0.979074,0.59
Q9DCS3,0.955802,0.56
Q9EQY0,0.974024,0.55
