UniProt_ID,Non-HMR_HMRPred_Probability,MB_Mebipred_Probaility
A0A0A8IDB7,0.999943,0.73
A0QXX7,0.999581,0.26
A2A9C3,0.802709,0.48
A4QUT2,0.995987,0.42
A6N6J5,0.999893,0.46
A6QEP0,0.995663,0.99
A8P0V4,0.999943,0.73
C4QX80,0.993632,0.61
C6KT68,0.99593,0.76
D3DJG4,0.990731,0.48
D3DJG5,0.997446,0.59
D7A6E5,0.995106,0.39
F8G0P1,0.997927,0.94
F8G0P2,0.9999,0.87
F8S296,0.688074,0.66
G5EEV2,0.93408,0.66
I3SL57,0.997842,0.61
K9L4P7,0.999638,0.43
L0DSL2,0.999969,0
O04308,0.999963,1
O08878,0.873466,0.42
O14569,0.993229,0.98
O14727,0.998635,0.71
O22229,0.999982,0.88
O28050,0.997135,0.75
O33434,0.999085,0.62
O34926,0.997521,0.56
O35129,0.99885,0.64
O35147,0.998774,0.57
O35425,0.978584,0.99
O48782,0.998785,0.59
O51076,0.996625,0.99
O57712,0.926322,1
O59651,0.987834,0.16
O60143,0.996831,1
O70456,0.991772,1
O75223,0.983063,0.97
O75879,0.996155,0.71
O77642,0.985505,1
O85041,0.992706,1
O85042,0.998564,0.64
O88879,0.999137,0.71
O94753,0.997252,0.19
P00128,0.998687,0.39
P00387,0.985103,0.86
P00429,0.946636,0.94
P04963,0.800498,0.42
P06181,0.958393,0.33
P07064,0.982662,0.97
P07147,0.999795,0.67
P07255,0.919778,1
P07257,0.999868,1
P07471,0.98327,0.98
P07514,0.9658,0.85
P09538,0.982662,0.97
P0A9P4,0.999837,0.83
P0ABJ9,0.98349,0.94
P0CX41,0.99761,0.99
P0CX42,0.99761,0.99
P11035,0.861904,0.89
P11325,0.999585,0.68
P11350,0.978006,0.42
P11542,0.987155,0.43
P13006,0.998157,1
P13029,0.998785,0.94
P13073,0.981354,0.99
P13183,0.981768,1
P14412,0.99929,0.11
P14902,0.998523,0.35
P14922,0.999802,0.6
P15877,0.999759,0.6
P17055,0.999398,0.78
P17413,0.998082,0.44
P17606,0.999615,0.73
P17643,0.999847,0.56
P19136,0.977824,0.41
P19573,0.999348,0.29
P20070,0.980881,0.99
P20332,0.993979,1
P20674,0.999944,0.94
P21375,0.999788,0.86
P21528,0.999508,0.68
P21570,0.954241,0.71
P22695,0.998905,0.68
P23886,0.999651,1
P24474,0.999795,0.37
P25446,0.998421,0.62
P25714,0.998078,0.67
P27882,0.997444,0.99
P28313,0.988011,0.37
P28314,0.991384,0.37
P29018,0.999599,0.94
P29067,0.982083,0.49
P29353,0.983509,0.95
P29509,0.994822,0.8
P31837,0.967068,0.33
P31838,0.955802,0.33
P31930,0.998048,0.96
P31947,0.993744,1
P32021,0.996391,0.6
P35200,0.994966,0.86
P35340,0.999975,0.93
P35922,0.97695,0.35
P36011,0.999534,0.49
P36060,0.995473,1
P36929,0.999138,0.35
P37197,0.999929,0.39
P37743,0.983551,0.45
P37794,0.968546,1
P38038,0.999957,0.63
P40693,0.91782,0.98
P41958,0.997241,0.88
P42829,0.998162,0.98
P46283,0.999303,1
P46489,0.999917,0.93
P48269,0.993151,0.64
P49012,0.780752,0.32
P50542,0.995741,0.48
P50592,0.997562,0.97
P51572,0.996964,0.95
P52426,0.999652,0.59
P53701,0.997339,0.47
P55789,0.975203,0.99
